Report Genrated Date 2025-08-20

Sales Report : Stationary Items Sold

Date              SaleID         ItemName            Quantity    Price       SalesAmount    
1990/10/01        4783           ink bottle          1           40.00       40.00          
                                                                        Subtotal for 1990/10/01 is : 40.00
1997/01/01        7506           inkpen              2           40.00       80.00          
                                                                        Subtotal for 1997/01/01 is : 80.00
1998/02/02        3996           pen                 5           1.00        5.00           
                                                                        Subtotal for 1998/02/02 is : 5.00
2001/11/02        5932           eraser              3           2.00        6.00           
                                                                        Subtotal for 2001/11/02 is : 6.00
2003/08/01        7620           pens                10          8.00        80.00          
                                                                        Subtotal for 2003/08/01 is : 80.00
2003/08/02        5812           pens                10          8.00        80.00          
                                                                        Subtotal for 2003/08/02 is : 80.00
2004/11/20        4245           pen                 20          5.00        100.00         
                                                                        Subtotal for 2004/11/20 is : 100.00
2004/11/23        4807           pencil              4           3.00        12.00          
                                                                        Subtotal for 2004/11/23 is : 12.00
2005/05/01        2417           sharpner            1           5.00        5.00           
                                                                        Subtotal for 2005/05/01 is : 5.00
2006/09/09        5277           glitter             2           30.00       60.00          
                                                                        Subtotal for 2006/09/09 is : 60.00
2008/09/09        6362           colour pencils      2           20.00       40.00          
                                                                        Subtotal for 2008/09/09 is : 40.00
2009/10/10        7704           crayons             1           30.00       30.00          
                                                                        Subtotal for 2009/10/10 is : 30.00
2025/03/01        7499           paint               2           80.00       160.00         
2025/03/01        9206           color pen           1           50.00       50.00          
                                                                        Subtotal for 2025/03/01 is : 210.00
2025/03/03        1827           toy                 4           2.00        8.00           
                                                                        Subtotal for 2025/03/03 is : 8.00
2025/09/09        6082           marker              2           1.00        2.00           
                                                                        Subtotal for 2025/09/09 is : 2.00
2025/10/10        6950           mask                2           20.00       40.00          
                                                                        Subtotal for 2025/10/10 is : 40.00
2025/11/11        2320           eraser              5           3.00        15.00          
                                                                        Subtotal for 2025/11/11 is : 15.00
2025/20/20        9120           pencil              3           2.00        6.00           
                                                                        Subtotal for 2025/20/20 is : 6.00
                                                                        Grand Total: 819.00
